  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, SelectionSort_cmp, SelectionSort_swaps, SelectionSort_time, HeapSort_cmp, HeapSort_swaps, HeapSort_time
 73,             0,               0,            104,         0,           0,         26,                 0,                   0,                168,            0,              0,            45
 74,             0,               0,            113,         0,           0,         13,                 0,                   0,                 78,            0,              0,            12
 75,             0,               0,            119,         0,           0,         13,                 0,                   0,                 33,            0,              0,            13
 76,             0,               0,            119,         0,           0,         12,                 0,                   0,                 26,            0,              0,            12
 77,             0,               0,            100,         0,           0,         12,                 0,                   0,                 50,            0,              0,            14
 78,             0,               0,            119,         0,           0,         12,                 0,                   0,                 24,            0,              0,            20
 79,             0,               0,            114,         0,           0,         13,                 0,                   0,                 30,            0,              0,            12
 80,             0,               0,            111,         0,           0,         41,                 0,                   0,                 24,            0,              0,            14
 81,             0,               0,            120,         0,           0,         29,                 0,                   0,                 34,            0,              0,            16
 82,             0,               0,            127,         0,           0,          7,                 0,                   0,                 33,            0,              0,            71
 83,             0,               0,            119,         0,           0,          7,                 0,                   0,                 25,            0,              0,            15
 84,             0,               0,            658,         0,           0,          9,                 0,                   0,                104,            0,              0,            17
 85,             0,               0,            153,         0,           0,          7,                 0,                   0,                 28,            0,              0,            14
 86,             0,               0,            256,         0,           0,          7,                 0,                   0,                118,            0,              0,            16
 87,             0,               0,            143,         0,           0,          7,                 0,                   0,               2891,            0,              0,            16
 88,             0,               0,            192,         0,           0,         10,                 0,                   0,                 29,            0,              0,            14
 89,             0,               0,             18,         0,           0,          8,                 0,                   0,                 42,            0,              0,            16
 90,             0,               0,             16,         0,           0,         35,                 0,                   0,                 31,            0,              0,            21
 91,             0,               0,             21,         0,           0,          7,                 0,                   0,                 37,            0,              0,            16
 92,             0,               0,             19,         0,           0,         11,                 0,                   0,                 37,            0,              0,            14
 93,             0,               0,             19,         0,           0,          7,                 0,                   0,                120,            0,              0,            17
 94,             0,               0,             18,         0,           0,          7,                 0,                   0,                 38,            0,              0,            15
 95,             0,               0,             23,         0,           0,          7,                 0,                   0,                115,            0,              0,            18
 96,             0,               0,             23,         0,           0,          8,                 0,                   0,                 43,            0,              0,            17
 97,             0,               0,             20,         0,           0,          8,                 0,                   0,                 95,            0,              0,            17
 98,             0,               0,             28,         0,           0,          9,                 0,                   0,                 39,            0,              0,            18
 99,             0,               0,             24,         0,           0,          8,                 0,                   0,                102,            0,              0,            17
100,             0,               0,             20,         0,           0,          7,                 0,                   0,                 45,            0,              0,            18
